expr,iters,node_limit,symbol_fuel,ast_size,fp_kind,out_expr
"(* (log x) (log y))",3,2000,100,5,"ByWeight([2])","(* (log x) (log y))"
"(* (log x) (log y))",3,2000,1000,5,"ByWeight([2])","(* (log x) (log y))"
"(* (log x) (log y))",3,10000,0,5,"Unknown(BudgetExhausted)","(* (log x) (log y))"
"(* (log x) (log y))",3,10000,20,5,"ByWeight([2])","(* (log x) (log y))"
"(* (log x) (log y))",3,10000,100,5,"ByWeight([2])","(* (log x) (log y))"
"(* (log x) (log y))",3,10000,1000,5,"ByWeight([2])","(* (log x) (log y))"
"(* (log x) (log y))",10,2000,0,5,"Unknown(BudgetExhausted)","(* (log x) (log y))"
"(* (log x) (log y))",10,2000,20,5,"ByWeight([2])","(* (log x) (log y))"
"(* (log x) (log y))",10,2000,100,5,"ByWeight([2])","(* (log x) (log y))"
"(* (log x) (log y))",10,2000,1000,5,"ByWeight([2])","(* (log x) (log y))"
"(* (log x) (log y))",10,10000,0,5,"Unknown(BudgetExhausted)","(* (log x) (log y))"
"(* (log x) (log y))",10,10000,20,5,"ByWeight([2])","(* (log x) (log y))"
"(* (log x) (log y))",10,10000,100,5,"ByWeight([2])","(* (log x) (log y))"
"(* (log x) (log y))",10,10000,1000,5,"ByWeight([2])","(* (log x) (log y))"
"(+ 7 (* (log x) (log y) (log z)))",3,2000,0,9,"Unknown(BudgetExhausted)","(+ 7 (* (log x) (log y) (log z)))"
"(+ 7 (* (log x) (log y) (log z)))",3,2000,20,9,"Unknown(SymbolNotImplemented)","(+ 7 (* (log x) (log y) (log z)))"
"(+ 7 (* (log x) (log y) (log z)))",3,2000,100,9,"Unknown(SymbolNotImplemented)","(+ 7 (* (log x) (log y) (log z)))"
"(+ 7 (* (log x) (log y) (log z)))",3,2000,1000,9,"Unknown(SymbolNotImplemented)","(+ 7 (* (log x) (log y) (log z)))"
"(+ 7 (* (log x) (log y) (log z)))",3,10000,0,9,"Unknown(BudgetExhausted)","(+ 7 (* (log x) (log y) (log z)))"
"(+ 7 (* (log x) (log y) (log z)))",3,10000,20,9,"Unknown(SymbolNotImplemented)","(+ 7 (* (log x) (log y) (log z)))"
"(+ 7 (* (log x) (log y) (log z)))",3,10000,100,9,"Unknown(SymbolNotImplemented)","(+ 7 (* (log x) (log y) (log z)))"
"(+ 7 (* (log x) (log y) (log z)))",3,10000,1000,9,"Unknown(SymbolNotImplemented)","(+ 7 (* (log x) (log y) (log z)))"
"(+ 7 (* (log x) (log y) (log z)))",10,2000,0,9,"Unknown(BudgetExhausted)","(+ 7 (* (log x) (log y) (log z)))"
"(+ 7 (* (log x) (log y) (log z)))",10,2000,20,9,"Unknown(SymbolNotImplemented)","(+ 7 (* (log x) (log y) (log z)))"
"(+ 7 (* (log x) (log y) (log z)))",10,2000,100,9,"Unknown(SymbolNotImplemented)","(+ 7 (* (log x) (log y) (log z)))"
"(+ 7 (* (log x) (log y) (log z)))",10,2000,1000,9,"Unknown(SymbolNotImplemented)","(+ 7 (* (log x) (log y) (log z)))"
"(+ 7 (* (log x) (log y) (log z)))",10,10000,0,9,"Unknown(BudgetExhausted)","(+ 7 (* (log x) (log y) (log z)))"
"(+ 7 (* (log x) (log y) (log z)))",10,10000,20,9,"Unknown(SymbolNotImplemented)","(+ 7 (* (log x) (log y) (log z)))"
"(+ 7 (* (log x) (log y) (log z)))",10,10000,100,9,"Unknown(SymbolNotImplemented)","(+ 7 (* (log x) (log y) (log z)))"
"(+ 7 (* (log x) (log y) (log z)))",10,10000,1000,9,"Unknown(SymbolNotImplemented)","(+ 7 (* (log x) (log y) (log z)))"
